"key","message","comment","context"
"Back to draft","Retour en brouillon",,
"Cancel","Annuler",,
"Cannot invoice the sale order '%s'. The process in not implemented yet!","Impossible de facturer la commande « %s ». Le prcoess n'est pas encore implémenté.",,
"Client",,,
"Comments","Commentaires",,
"Confirm","Confirmer",,
"Confirmation date","Date de confirmation",,
"Confirmed by","Confirmé par",,
"Details","Détails",,
"Edit total price","Modifier le prix total",,
"Finalisation date","Date de finalisation",,
"Finalize","Finalizer",,
"Finalized by","Finalisé par",,
"Follow up","Suivi",,
"Invoice","Facture",,
"Invoice (verb)","Facturer",,
"Invoice line","Ligne de facture",,
"Invoice lines","Lignes de facture",,
"Invoice.Cancelled","Annulée",,
"Invoice.Draft","Brouillon",,
"Invoice.Paid","Réglée",,
"Invoice.Validated","Validée",,
"Invoices","Factures",,
"Name","Nom",,
"N°",,,
"Product","Produit",,
"Products","Produits",,
"Qty","Qté",,
"Related sale orders","Commandes de vente liées",,
"Sale order","Commande de vente",,
"Sale order line","Ligne de commande de vente",,
"Sale order lines","Lignes de commande de vente",,
"Sale orders","Commandes de vente",,
"SaleOrder.Cancelled","Annulée",,
"SaleOrder.Confirmed","Confirmée",,
"SaleOrder.Draft","Brouillon",,
"SaleOrder.Finalized","Finalisée",,
"Sequence",,,
"Status",,,
"The total price is 0.","Le prix total est à 0.",,
"Title","Titre",,
"Total price","Prix total",,
"Unit price","Prix unitaire",,
"You already finalized this sale order. By confirming it yourself you will skip the double validation. Continue?","Vous avez déjà finalisé cette commande. En confirmant vous-même la double validation ne sera pas respectée. Continuer ?",,
